Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 63,0.9999295473098755,1,0,2,1,0,2,1.0,0.0024154589371980675,0.0048192771084337345
Image 93,0.9999294281005859,1,0,2,2,0,4,1.0,0.004830917874396135,0.009615384615384614
Image 68,0.9998959302902222,1,0,5,3,0,9,1.0,0.007246376811594203,0.014388489208633093
Image 77,0.999832034111023,1,0,2,4,0,11,1.0,0.00966183574879227,0.019138755980861243
Image 63,0.9997861981391907,1,0,0,5,0,11,1.0,0.012077294685990338,0.02386634844868735
Image 107,0.9997491240501404,1,0,2,6,0,13,1.0,0.014492753623188406,0.02857142857142857
Image 118,0.999739944934845,1,0,0,7,0,13,1.0,0.016908212560386472,0.03325415676959619
Image 40,0.9997279047966003,1,0,0,8,0,13,1.0,0.01932367149758454,0.03791469194312796
Image 109,0.9997057318687439,1,0,2,9,0,15,1.0,0.021739130434782608,0.042553191489361694
Image 4,0.9996755123138428,1,0,0,10,0,15,1.0,0.024154589371980676,0.04716981132075471
Image 120,0.999660849571228,1,0,0,11,0,15,1.0,0.026570048309178744,0.05176470588235295
Image 26,0.9996515512466431,1,0,2,12,0,17,1.0,0.028985507246376812,0.05633802816901409
Image 125,0.9996393918991089,1,0,0,13,0,17,1.0,0.03140096618357488,0.060889929742388764
Image 18,0.9996381998062134,1,0,1,14,0,18,1.0,0.033816425120772944,0.06542056074766354
Image 31,0.9995895028114319,1,0,0,15,0,18,1.0,0.036231884057971016,0.06993006993006994
Image 103,0.99953293800354,1,0,1,16,0,19,1.0,0.03864734299516908,0.07441860465116279
Image 66,0.9995276927947998,1,0,1,17,0,20,1.0,0.04106280193236715,0.0788863109048724
Image 36,0.9995194673538208,1,0,3,18,0,23,1.0,0.043478260869565216,0.08333333333333333
Image 112,0.999500036239624,1,0,1,19,0,24,1.0,0.04589371980676329,0.08775981524249424
Image 84,0.9994865655899048,1,0,2,20,0,26,1.0,0.04830917874396135,0.09216589861751152
Image 32,0.9994649291038513,1,0,1,21,0,27,1.0,0.050724637681159424,0.09655172413793105
Image 56,0.9994489550590515,1,0,4,22,0,31,1.0,0.05314009661835749,0.10091743119266056
Image 27,0.9994454979896545,1,0,2,23,0,33,1.0,0.05555555555555555,0.10526315789473684
Image 108,0.9994164705276489,1,0,3,24,0,36,1.0,0.057971014492753624,0.1095890410958904
Image 32,0.999415397644043,1,0,0,25,0,36,1.0,0.06038647342995169,0.11389521640091116
Image 8,0.9994057416915894,1,0,0,26,0,36,1.0,0.06280193236714976,0.11818181818181818
Image 94,0.999398946762085,1,0,0,27,0,36,1.0,0.06521739130434782,0.12244897959183672
