Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 50,0.9847812652587891,1,0,0,1,0,0,1.0,0.005208333333333333,0.010362694300518135
Image 111,0.9834455847740173,1,0,0,2,0,0,1.0,0.010416666666666666,0.020618556701030924
Image 86,0.9674785733222961,1,0,0,3,0,0,1.0,0.015625,0.03076923076923077
Image 38,0.941127598285675,1,0,0,4,0,0,1.0,0.020833333333333332,0.04081632653061225
Image 60,0.936319887638092,1,0,0,5,0,0,1.0,0.026041666666666668,0.050761421319796954
Image 46,0.9253320693969727,1,0,0,6,0,0,1.0,0.03125,0.06060606060606061
Image 92,0.9234611988067627,1,0,0,7,0,0,1.0,0.036458333333333336,0.07035175879396986
Image 20,0.9164018630981445,1,0,0,8,0,0,1.0,0.041666666666666664,0.07999999999999999
Image 74,0.8942092061042786,1,0,0,9,0,0,1.0,0.046875,0.08955223880597014
Image 52,0.878119945526123,1,0,0,10,0,0,1.0,0.052083333333333336,0.09900990099009901
Image 5,0.8314715027809143,1,0,0,11,0,0,1.0,0.057291666666666664,0.1083743842364532
Image 37,0.8180163502693176,1,0,1,12,0,1,1.0,0.0625,0.11764705882352941
Image 75,0.7543736100196838,1,0,0,13,0,1,1.0,0.06770833333333333,0.12682926829268293
Image 80,0.7315030097961426,1,0,0,14,0,1,1.0,0.07291666666666667,0.13592233009708737
Image 63,0.7235960960388184,1,0,0,15,0,1,1.0,0.078125,0.14492753623188406
Image 78,0.7056267261505127,1,0,0,16,0,1,1.0,0.08333333333333333,0.15384615384615385
Image 101,0.7029886245727539,1,0,2,17,0,3,1.0,0.08854166666666667,0.16267942583732056
Image 23,0.6980843544006348,1,0,0,18,0,3,1.0,0.09375,0.17142857142857143
Image 32,0.6796204447746277,1,0,0,19,0,3,1.0,0.09895833333333333,0.18009478672985782
Image 0,0.6784645915031433,1,0,0,20,0,3,1.0,0.10416666666666667,0.18867924528301885
Image 12,0.674444317817688,1,0,0,21,0,3,1.0,0.109375,0.19718309859154928
Image 27,0.6491525769233704,1,0,0,22,0,3,1.0,0.11458333333333333,0.205607476635514
Image 89,0.6424310207366943,1,0,1,23,0,4,1.0,0.11979166666666667,0.21395348837209302
Image 79,0.6396592855453491,1,0,1,24,0,5,1.0,0.125,0.2222222222222222
Image 126,0.6316699385643005,1,0,0,25,0,5,1.0,0.13020833333333334,0.23041474654377883
Image 103,0.5722662210464478,0,1,0,25,1,5,0.9615384615384616,0.13020833333333334,0.2293577981651376
Image 56,0.556064784526825,1,0,0,26,1,5,0.9629629629629629,0.13541666666666666,0.23744292237442924
Image 7,0.5521517992019653,1,0,0,27,1,5,0.9642857142857143,0.140625,0.24545454545454543
Image 93,0.54940265417099,1,0,0,28,1,5,0.9655172413793104,0.14583333333333334,0.2533936651583711
Image 1,0.5466050505638123,1,0,0,29,1,5,0.9666666666666667,0.15104166666666666,0.26126126126126126
Image 112,0.532473623752594,1,0,0,30,1,5,0.967741935483871,0.15625,0.26905829596412556
Image 65,0.49867603182792664,1,0,2,31,1,7,0.96875,0.16145833333333334,0.27678571428571436
Image 103,0.4949501156806946,1,0,0,32,1,7,0.9696969696969697,0.16666666666666666,0.2844444444444444
Image 44,0.4915081858634949,1,0,0,33,1,7,0.9705882352941176,0.171875,0.29203539823008845
Image 122,0.4796857237815857,1,0,0,34,1,7,0.9714285714285714,0.17708333333333334,0.29955947136563876
Image 81,0.46245133876800537,1,0,1,35,1,8,0.9722222222222222,0.18229166666666666,0.30701754385964913
Image 71,0.45773211121559143,1,0,0,36,1,8,0.972972972972973,0.1875,0.314410480349345
Image 107,0.45215821266174316,1,0,1,37,1,9,0.9736842105263158,0.19270833333333334,0.3217391304347826
Image 47,0.44255903363227844,1,0,0,38,1,9,0.9743589743589743,0.19791666666666666,0.32900432900432897
Image 44,0.4372648596763611,1,0,0,39,1,9,0.975,0.203125,0.3362068965517241
Image 76,0.4365515410900116,1,0,1,40,1,10,0.975609756097561,0.20833333333333334,0.34334763948497854
Image 61,0.42324361205101013,1,0,0,41,1,10,0.9761904761904762,0.21354166666666666,0.3504273504273504
Image 26,0.4216505289077759,1,0,0,42,1,10,0.9767441860465116,0.21875,0.3574468085106383
Image 106,0.42135506868362427,1,0,0,43,1,10,0.9772727272727273,0.22395833333333334,0.364406779661017
Image 102,0.41228124499320984,1,0,0,44,1,10,0.9777777777777777,0.22916666666666666,0.37130801687763715
Image 117,0.40893247723579407,0,1,1,44,2,11,0.9565217391304348,0.22916666666666666,0.36974789915966383
Image 4,0.40762051939964294,1,0,0,45,2,11,0.9574468085106383,0.234375,0.3765690376569037
Image 10,0.4042169451713562,1,0,0,46,2,11,0.9583333333333334,0.23958333333333334,0.38333333333333336
