Image,Confidence,TP,FP,TP_acc,FP_acc,Precision,Recall,F1
Image 20,0.9558202028274536,1,0,1,0,1.0,0.008,0.0
Image 14,0.9526557326316833,1,0,2,0,1.0,0.016,0.031496062992125984
Image 11,0.9501115679740906,1,0,3,0,1.0,0.024,0.046875
Image 22,0.949539303779602,1,0,4,0,1.0,0.032,0.06201550387596899
Image 23,0.9451407194137573,1,0,5,0,1.0,0.04,0.07692307692307693
Image 22,0.9412577748298645,1,0,6,0,1.0,0.048,0.0916030534351145
Image 9,0.9411011934280396,1,0,7,0,1.0,0.056,0.10606060606060606
Image 3,0.9408540725708008,1,0,8,0,1.0,0.064,0.12030075187969924
Image 13,0.9408118724822998,1,0,9,0,1.0,0.072,0.1343283582089552
Image 21,0.9390589594841003,1,0,10,0,1.0,0.08,0.14814814814814814
Image 33,0.9389907121658325,1,0,11,0,1.0,0.088,0.16176470588235292
Image 21,0.9380101561546326,1,0,12,0,1.0,0.096,0.1751824817518248
Image 27,0.9349105358123779,1,0,13,0,1.0,0.104,0.18840579710144925
Image 23,0.9346254467964172,1,0,14,0,1.0,0.112,0.2014388489208633
Image 18,0.9343842267990112,1,0,15,0,1.0,0.12,0.21428571428571425
Image 34,0.9329860210418701,1,0,16,0,1.0,0.128,0.22695035460992907
Image 60,0.9323184490203857,1,0,17,0,1.0,0.136,0.23943661971830985
Image 19,0.9300838112831116,1,0,18,0,1.0,0.144,0.2517482517482518
Image 25,0.9290964007377625,1,0,19,0,1.0,0.152,0.2638888888888889
Image 26,0.927792489528656,1,0,20,0,1.0,0.16,0.2758620689655173
Image 56,0.9275931715965271,1,0,21,0,1.0,0.168,0.28767123287671237
Image 17,0.9214896559715271,1,0,22,0,1.0,0.176,0.29931972789115646
Image 24,0.91933274269104,1,0,23,0,1.0,0.184,0.3108108108108108
Image 16,0.9188308715820312,1,0,24,0,1.0,0.192,0.32214765100671144
Image 5,0.9187492728233337,1,0,25,0,1.0,0.2,0.33333333333333337
Image 2,0.9184297919273376,1,0,26,0,1.0,0.208,0.3443708609271523
Image 28,0.9183548092842102,1,0,27,0,1.0,0.216,0.35526315789473684
Image 4,0.9152005910873413,1,0,28,0,1.0,0.224,0.36601307189542487
Image 61,0.9145060181617737,1,0,29,0,1.0,0.232,0.37662337662337664
Image 6,0.9107455015182495,1,0,30,0,1.0,0.24,0.3870967741935484
Image 8,0.9100341200828552,1,0,31,0,1.0,0.248,0.3974358974358974
Image 0,0.909538984298706,1,0,32,0,1.0,0.256,0.40764331210191085
Image 37,0.9079108834266663,1,0,33,0,1.0,0.264,0.4177215189873418
Image 51,0.9061470031738281,1,0,34,0,1.0,0.272,0.4276729559748428
Image 20,0.9059633016586304,1,0,35,0,1.0,0.28,0.43750000000000006
